refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-+Bireh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0, Bireh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,A'ain El-Mir (El Establ),0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2250,1,0,AAridet Cheikh Zennad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aaba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aaba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4000,2,0,Aabadiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aabaydat,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aabba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,1,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,21500,2,1,Aabbesiyyi,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,14
http://dbpedia.org/resource/Bsharri_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabdine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aabdine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1
http://dbpedia.org/resource/Sidon_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,15000,1,0,Aabra Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,3
